02/09/2011,175050,"Spinach Salad Base",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/09/2011,143001,Tofu,DIN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/09/2011,175021,"Tomato Wedges",DIN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
02/09/2011,48502,"Egg Salad",DIN,"ANNENBERG ","Sandwich Bar",4,OZ,VGT
02/09/2011,221019,"Kosher Dill Pickle Chips",DIN,"ANNENBERG ","Sandwich Bar",3,EACH,VGN
02/09/2011,175035,"Leaf Lettuce",DIN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/09/2011,71525,"Sliced Capicola",DIN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/09/2011,176007,"Sliced Red Onions",DIN,"ANNENBERG ","Sandwich Bar",1,OZ,"(OG) VGN"
02/09/2011,175036,"Sliced Tomatoes",DIN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/09/2011,113520,"Smoked Turkey Breast",DIN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/09/2011,111502,"Chicken Cacciatore",DIN,"ANNENBERG ",Entrees,1,EACH,
02/09/2011,141087,"Quinoa and Vegetable Jambalaya",DIN,"ANNENBERG ",Entrees,8,OZ,VGN
02/09/2011,142081,"Sweet Potato Pecan Souffle",DIN,"ANNENBERG ","Starch & Potatoes",4,OZ,VGT
02/09/2011,151032,"Sauteed Kale with Garlic",DIN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/09/2011,173008,"Steamed Corn",DIN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/09/2011,185017,"Pecan Pie",DIN,"ANNENBERG ",Desserts,1,SLICE,VGT
02/09/2011,501033,"Boca Burger for Grill",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/09/2011,117003,Chickwich,DIN,"ANNENBERG ","From the Grille",1,EACH,
02/09/2011,75012,"Crispy Fish Sandwich",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/09/2011,61041,"Egg Beaters",DIN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/09/2011,61042,"Egg Whites",DIN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/09/2011,142055,"Garden Burger",DIN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/09/2011,145070,"Grilled Bean Burrito",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/09/2011,138003,"Grilled Cheese Sandwich",DIN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/09/2011,138014,"Grilled Chicken",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/09/2011,77022,"Grilled Frankfurter",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/09/2011,138015,"Grilled Ham and Cheese",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/09/2011,77003,"Grilled Hamburger",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/09/2011,133026,"Turkey Burger",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/09/2011,505056,"Vegan Chicken Grill Patty",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/09/2011,143059,"Vegan Dog",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/09/2011,503093,"Lima Beans w/ Red Onions",DIN,"ANNENBERG ","Bean, Whole Grain",4,OZ,VGN
02/09/2011,505064,"Brown Rice",DIN,"ANNENBERG ","Brown Rice Station",3,OZ,VGN
02/09/2011,221050,"Natural Lite Soy Sauce",DIN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/09/2011,157037,"Rice Vinegar",DIN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/09/2011,157033,"Sriracha Chili Sauce",DIN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/09/2011,42093,"Edamame Salad",DIN,"ANNENBERG ","Production Salads",4,OZ,
02/09/2011,153503,"Bolognese Sauce",DIN,"ANNENBERG ","Pasta a la Carte",4,OZL,
02/09/2011,165014,Linguine,DIN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGN
02/09/2011,501067,"Multigrain Rotini",DIN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGT
02/09/2011,153005,"Red Spaghetti Sauce",DIN,"ANNENBERG ","Pasta a la Carte",4,OZL,VGN
