02/10/2011,501005,"Quinoa Pilaf",LUN,"ANNENBERG ","Bean, Whole Grain",4,OZ,VGN
02/10/2011,505064,"Brown Rice",LUN,"ANNENBERG ","Brown Rice Station",3,OZ,VGN
02/10/2011,221050,"Natural Lite Soy Sauce",LUN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/10/2011,157037,"Rice Vinegar",LUN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/10/2011,157033,"Sriracha Chili Sauce",LUN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/10/2011,42067,"Curried Cous Cous Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGT
02/10/2011,42088,"Olive Antipasto Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,
02/10/2011,42057,"Wild Rice Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGT
02/10/2011,501069,"Multigrain Penne",LUN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGT
02/10/2011,158059,"Organic Pasta Sauce",LUN,"ANNENBERG ","Pasta a la Carte",4,OZL,"(OG) VGN"
02/10/2011,503054,"Roasted Garlic and Tomato Cream Sauce",LUN,"ANNENBERG ","Pasta a la Carte",4,OZL,VGT
02/10/2011,164024,"Rotini Pasta",LUN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGN
02/10/2011,505080,"Turkish Lentil Soup",DIN,"ANNENBERG ","Today's Soup",6,OZL,VGN
02/10/2011,175076,"Broccoli Florets",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,46001,"Caesar Salad",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,173012,"Chick Peas",DIN,"ANNENBERG ","Salad Bar",1,OZ,VGN
02/10/2011,171060,"Corn Niblets",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,163024,Couscous,DIN,"ANNENBERG ","Salad Bar",3-Feb,CUP,VGT
02/10/2011,48006,"Flaked Tuna",DIN,"ANNENBERG ","Salad Bar",2,OZ,
02/10/2011,175054,"HUHDS Salad Mix",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,161056,"Hard Cooked Eggs",DIN,"ANNENBERG ","Salad Bar",1,EACH,VGT
02/10/2011,48016,Hummus,DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,176034,"Shredded Carrots",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,173007,"Sliced Beets",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,175022,"Sliced Cucumbers",DIN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/10/2011,143001,Tofu,DIN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/10/2011,175021,"Tomato Wedges",DIN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
02/10/2011,221019,"Kosher Dill Pickle Chips",DIN,"ANNENBERG ","Sandwich Bar",3,EACH,VGN
02/10/2011,175035,"Leaf Lettuce",DIN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/10/2011,176007,"Sliced Red Onions",DIN,"ANNENBERG ","Sandwich Bar",1,OZ,"(OG) VGN"
02/10/2011,71521,"Sliced Salami",DIN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/10/2011,175036,"Sliced Tomatoes",DIN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/10/2011,113520,"Smoked Turkey Breast",DIN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/10/2011,48503,"Tuna Salad",DIN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/10/2011,504099,"Grilled Pepper Steak",DIN,"ANNENBERG ",Entrees,5,OZ,
02/10/2011,501091,"Sweet and Sour Tofu",DIN,"ANNENBERG ",Entrees,6,OZ,VGN
02/10/2011,502043,"Roasted Red Bliss Potatoes",DIN,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/10/2011,176062,"Glazed Acorn Squash",DIN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/10/2011,501033,"Boca Burger for Grill",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/10/2011,117003,Chickwich,DIN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,75012,"Crispy Fish Sandwich",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,61041,"Egg Beaters",DIN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/10/2011,61042,"Egg Whites",DIN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/10/2011,142055,"Garden Burger",DIN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/10/2011,145070,"Grilled Bean Burrito",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/10/2011,138003,"Grilled Cheese Sandwich",DIN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/10/2011,138014,"Grilled Chicken",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,77022,"Grilled Frankfurter",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,138015,"Grilled Ham and Cheese",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,77003,"Grilled Hamburger",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,133026,"Turkey Burger",DIN,"ANNENBERG ","From the Grille",1,EACH,
02/10/2011,505056,"Vegan Chicken Grill Patty",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/10/2011,143059,"Vegan Dog",DIN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/10/2011,501005,"Quinoa Pilaf",DIN,"ANNENBERG ","Bean, Whole Grain",4,OZ,VGN
02/10/2011,505064,"Brown Rice",DIN,"ANNENBERG ","Brown Rice Station",3,OZ,VGN
02/10/2011,221050,"Natural Lite Soy Sauce",DIN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/10/2011,157037,"Rice Vinegar",DIN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/10/2011,157033,"Sriracha Chili Sauce",DIN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/10/2011,42067,"Curried Cous Cous Salad",DIN,"ANNENBERG ","Production Salads",4,OZ,VGT
02/10/2011,42088,"Olive Antipasto Salad",DIN,"ANNENBERG ","Production Salads",4,OZ,
02/10/2011,42057,"Wild Rice Salad",DIN,"ANNENBERG ","Production Salads",4,OZ,VGT
02/10/2011,501069,"Multigrain Penne",DIN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGT
02/10/2011,158059,"Organic Pasta Sauce",DIN,"ANNENBERG ","Pasta a la Carte",4,OZL,"(OG) VGN"
02/10/2011,503054,"Roasted Garlic and Tomato Cream Sauce",DIN,"ANNENBERG ","Pasta a la Carte",4,OZL,VGT
02/10/2011,164024,"Rotini Pasta",DIN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGN
